Name;EnglishName;ISO
Абхазия;Abkhazia;895
Австралия;Australia;36
Австрия;Austria;40
Азербайджан;Azerbaijan;31
Албания;Albania;8
Алжир;Algeria;12
Американское Самоа;American Samoa;16
Ангилья;Anguilla;660
Ангола;Angola;24
Андорра;Andorra;20
Антарктида;Antarctica;10
Антигуа и Барбуда;Antigua and Barbuda;28
Аргентина;Argentina;32
Армения;Armenia;51
Аруба;Aruba;533
Афганистан;Afghanistan;4
Багамы;Bahamas;44
Бангладеш;Bangladesh;50
Барбадос;Barbados;52
Бахрейн;Bahrain;48
Беларусь;Belarus;112
Белиз;Belize;84
Бельгия;Belgium;56
Бенин;Benin;204
Бермуды;Bermuda;60
Болгария;Bulgaria;100
Боливия;Bolivia;68
Бонайре;Bonaire;535
Босния и Герцеговина;Bosnia and Herzegovina;70
Ботсвана;Botswana;72
Бразилия;Brazil;76
Британская территория в Индийском океане;British Indian Ocean Territory;86
Бруней-Даруссалам;Brunei Darussalam;96
Буркина-Фасо;Burkina Faso;854
Бурунди;Burundi;108
Бутан;Bhutan;64
Вануату;Vanuatu;548
Венгрия;Hungary;348
Венесуэла Боливарианская Республика;Venezuela;862
Виргинские острова;Virgin Islands British;92
Виргинские острова;Virgin Islands  U.S.;850
Вьетнам;Vietnam;704
Габон;Gabon;266
Гаити;Haiti;332
Гайана;Guyana;328
Гамбия;Gambia;270
Гана;Ghana;288
Гваделупа;Guadeloupe;312
Гватемала;Guatemala;320
Гвинея;Guinea;324
Гвинея-Бисау;Guinea-Bissau;624
Германия;Germany;276
Гернси;Guernsey;831
Гибралтар;Gibraltar;292
Гондурас;Honduras;340
Гонконг;Hong Kong;344
Гренада;Grenada;308
Гренландия;Greenland;304
Греция;Greece;300
Грузия;Georgia;268
Гуам;Guam;316
Дания;Denmark;208
Джерси;Jersey;832
Джибути;Djibouti;262
Доминика;Dominica;212
Доминиканская Республика;Dominican Republic;214
Египет;Egypt;818
Замбия;Zambia;894
Западная Сахара;Western Sahara;732
Зимбабве;Zimbabwe;716
Израиль;Israel;376
Индия;India;356
Индонезия;Indonesia;360
Иордания;Jordan;400
Ирак;Iraq;368
Иран;Iran;364
Ирландия;Ireland;372
Исландия;Iceland;352
Испания;Spain;724
Италия;Italy;380
Йемен;Yemen;887
Кабо-Верде;Cape Verde;132
Казахстан;Kazakhstan;398
Камбоджа;Cambodia;116
Камерун;Cameroon;120
Канада;Canada;124
Катар;Qatar;634
Кения;Kenya;404
Кипр;Cyprus;196
Киргизия;Kyrgyzstan;417
Кирибати;Kiribati;296
Китай;China;156
Кокосовые (Килинг) острова;Cocos (Keeling) Islands;166
Колумбия;Colombia;170
Коморы;Comoros;174
Конго;Congo;178
Конго;Congo;180
Корея;Korea;408
Корея;Korea;410
Коста-Рика;Costa Rica;188
Кот д'Ивуар;Cote d'Ivoire;384
Куба;Cuba;192
Кувейт;Kuwait;414
Кюрасао;Cura?ao;531
Лаос;Lao People's Democratic Republic;418
Латвия;Latvia;428
Лесото;Lesotho;426
Ливан;Lebanon;422
Ливийская Арабская Джамахирия;Libyan Arab Jamahiriya;434
Либерия;Liberia;430
Лихтенштейн;Liechtenstein;438
Литва;Lithuania;440
Люксембург;Luxembourg;442
Маврикий;Mauritius;480
Мавритания;Mauritania;478
Мадагаскар;Madagascar;450
Майотта;Mayotte;175
Макао;Macao;446
Малави;Malawi;454
Малайзия;Malaysia;458
Мали;Mali;466
Малые Тихоокеанские отдаленные острова Соединенных Штатов;United States Minor Outlying Islands;581
Мальдивы;Maldives;462
Мальта;Malta;470
Марокко;Morocco;504
Мартиника;Martinique;474
Маршалловы острова;Marshall Islands;584
Мексика;Mexico;484
Микронезия;Micronesia;583
Мозамбик;Mozambique;508
Молдова;Moldova;498
Монако;Monaco;492
Монголия;Mongolia;496
Монтсеррат;Montserrat;500
Мьянма;Myanmar;104
Намибия;Namibia;516
Науру;Nauru;520
Непал;Nepal;524
Нигер;Niger;562
Нигерия;Nigeria;566
Нидерланды;Netherlands;528
Никарагуа;Nicaragua;558
Ниуэ;Niue;570
Новая Зеландия;New Zealand;554
Новая Каледония;New Caledonia;540
Норвегия;Norway;578
Объединенные Арабские Эмираты;United Arab Emirates;784
Оман;Oman;512
Остров Буве;Bouvet Island;74
Остров Мэн;Isle of Man;833
Остров Норфолк;Norfolk Island;574
Остров Рождества;Christmas Island;162
Остров Херд и острова Макдональд;Heard Island and McDonald Islands;334
Острова Кайман;Cayman Islands;136
Острова Кука;Cook Islands;184
Острова Теркс и Кайкос;Turks and Caicos Islands;796
Пакистан;Pakistan;586
Палау;Palau;585
Палестинская территория;Palestinian Territory;275
Панама;Panama;591
Папский Престол (Государство — город Ватикан);Holy See (Vatican City State);336
Папуа-Новая Гвинея;Papua New Guinea;598
Парагвай;Paraguay;600
Перу;Peru;604
Питкерн;Pitcairn;612
Польша;Poland;616
Португалия;Portugal;620
Пуэрто-Рико;Puerto Rico;630
Республика Македония;Macedonia;807
Реюньон;Reunion;638
Россия;Russian Federation;643
Руанда;Rwanda;646
Румыния;Romania;642
Самоа;Samoa;882
Сан-Марино;San Marino;674
Сан-Томе и Принсипи;Sao Tome and Principe;678
Саудовская Аравия;Saudi Arabia;682
Свазиленд;Swaziland;748
Святая Елена;Saint Helena;654
Северные Марианские острова;Northern Mariana Islands;580
Сен-Бартельми;Saint Barth?lemy;652
Сен-Мартен;Saint Martin (French Part);663
Сенегал;Senegal;686
Сент-Винсент и Гренадины;Saint Vincent and the Grenadines;670
Сент-Люсия;Saint Lucia;662
Сент-Китс и Невис;Saint Kitts and Nevis;659
Сент-Пьер и Микелон;Saint Pierre and Miquelon;666
Сербия;Serbia;688
Сейшелы;Seychelles;690
Сингапур;Singapore;702
Синт-Мартен;Sint Maarten;534
Сирийская Арабская Республика;Syrian Arab Republic;760
Словакия;Slovakia;703
Словения;Slovenia;705
Соединенное Королевство;United Kingdom;826
Соединенные Штаты;United States;840
Соломоновы острова;Solomon Islands;90
Сомали;Somalia;706
Судан;Sudan;736
Суринам;Suriname;740
Сьерра-Леоне;Sierra Leone;694
Таджикистан;Tajikistan;762
Таиланд;Thailand;764
Тайвань (Китай);Taiwan;158
Танзания;Tanzania;834
Тимор-Лесте;Timor-Leste;626
Того;Togo;768
Токелау;Tokelau;772
Тонга;Tonga;776
Тринидад и Тобаго;Trinidad and Tobago;780
Тувалу;Tuvalu;798
Тунис;Tunisia;788
Туркмения;Turkmenistan;795
Турция;Turkey;792
Уганда;Uganda;800
Узбекистан;Uzbekistan;860
Украина;Ukraine;804
Уоллис и Футуна;Wallis and Futuna;876
Уругвай;Uruguay;858
Фарерские острова;Faroe Islands;234
Фиджи;Fiji;242
Филиппины;Philippines;608
Финляндия;Finland;246
Фолклендские острова (Мальвинские);Falkland Islands (Malvinas);238
Франция;France;250
Французская Гвиана;French Guiana;254
Французская Полинезия;French Polynesia;258
Французские Южные территории;French Southern Territories;260
Хорватия;Croatia;191
Центрально-Африканская Республика;Central African Republic;140
Чад;Chad;148
Черногория;Montenegro;499
Чешская Республика;Czech Republic;203
Чили;Chile;152
Швейцария;Switzerland;756
Швеция;Sweden;752
Шпицберген и Ян Майен;Svalbard and Jan Mayen;744
Шри-Ланка;Sri Lanka;144
Эквадор;Ecuador;218
Экваториальная Гвинея;Equatorial Guinea;226
Эландские острова;?land Islands;248
Эль-Сальвадор;El Salvador;222
Эритрея;Eritrea;232
Эстония;Estonia;233
Эфиопия;Ethiopia;231
Южная Африка;South Africa;710
Южная Джорджия и Южные Сандвичевы острова;South Georgia and the South Sandwich Islands;239
Южная Осетия;South Ossetia;896
Южный Судан;South Sudan;728
Ямайка;Jamaica;388
Япония;Japan;392
